Cincinnati Masters — 2021
matches: selected=55 rated=55 refused=0 players=56
POS  PLAYER                       RATING  M    AVG  POSITION  ROUND REACHED
 55  Yannick Hanfmann                -14  1  -14.0      33rd  R64 loser    
 56  Grigor Dimitrov                 -16  1  -16.0      33rd  R64 loser    

Cincinnati Masters — 2024
matches: selected=55 rated=52 refused=3 players=56
POS  PLAYER                       RATING  M    AVG  POSITION  ROUND REACHED
---  ---------------------------  ------  -  -----  --------  -------------
  1  Jannik Sinner                   +38  4    9.5       1st  Champion     
  2  Holger Rune                     +30  5    6.0       3rd  SF loser     
  3  Alexander Zverev                +26  4    6.5       3rd  SF loser     
  4  Frances Tiafoe                  +26  5    5.2       2nd  Finalist     
  5  Ben Shelton                     +24  4    6.0       5th  QF loser     
  6  Felix Auger-Aliassime           +22  3    7.3       9th  R16 loser    
  7  Andrey Rublev                   +20  3    6.7       5th  QF loser     
  8  Jordan Thompson                 +20  2   10.0       9th  R16 loser    
  9  Jiri Lehecka                    +18  3    6.0       9th  R16 loser    
 10  Hubert Hurkacz                  +16  2    8.0       5th  QF loser     
 11  Pablo Carreno Busta             +14  3    4.7       9th  R16 loser    
 12  Gael Monfils                    +12  3    4.0       9th  R16 loser    
 13  Luciano Darderi                 +12  1   12.0      17th  R32 loser    
 14  Fabian Marozsan                  +6  3    2.0       9th  R16 loser    
 15  Brandon Nakashima                +4  3    1.3       9th  R16 loser    
 16  Jack Draper                      +4  4    1.0       5th  QF loser     
 17  Yoshihito Nishioka               +4  2    2.0      17th  R32 loser    
 18  Arthur Fils                      +2  2    1.0      17th  R32 loser    
 19  Tomas Martin Etcheverry          +2  2    1.0      17th  R32 loser    
 20  Flavio Cobolli                   +0  2    0.0       9th  R16 loser    
 21  Karen Khachanov                  +0  2    0.0      17th  R32 loser    
 22  Max Purcell                      +0  2    0.0      17th  R32 loser    
 23  Stefanos Tsitsipas               +0  2    0.0      17th  R32 loser    
 24  Zhizhen Zhang                    +0  2    0.0      17th  R32 loser    
 25  Alex Michelsen                   -2  2   -1.0      17th  R32 loser    
 26  Nuno Borges                      -4  2   -2.0      17th  R32 loser    
 27  Carlos Alcaraz                   -6  1   -6.0      17th  R32 loser    
 28  Grigor Dimitrov                  -6  1   -6.0      17th  R32 loser    
 29  Jan-Lennard Struff               -6  1   -6.0      33rd  R64 loser    
 30  Jaume Munar                      -6  1   -6.0      33rd  R64 loser    
 31  Marcos Giron                     -6  1   -6.0      33rd  R64 loser    
 32  Matteo Berrettini                -6  1   -6.0      33rd  R64 loser    
 33  Nicolas Jarry                    -6  1   -6.0      33rd  R64 loser    
 34  Taylor Fritz                     -6  1   -6.0      33rd  R64 loser    
 35  Ugo Humbert                      -6  1   -6.0      33rd  R64 loser    
 36  Adrian Mannarino                 -8  1   -8.0      33rd  R64 loser    
 37  Lorenzo Musetti                  -8  2   -4.0      17th  R32 loser    
